"Project name","ID","Country","Partners","Project type","Announcement","FID","Operation","Suspension/decommissioning","Project Status","Project phase","Announced capacity (Mt CO2/yr)","Estimated capacity by IEA (Mt CO2/yr)","Sector","Fate of carbon","Part of CCUS hub","Region","Ref 1","Ref 2","Ref 3","Ref 4","Ref 5","Ref 6","Ref 7","Link 1","Link 2","Link 3","Link 4","Link 5","Link 6","Link 7"
"Drax BECCS Project (Phase 1)",130,"United Kingdom","Drax, Worley (FEED), Mitsubishi HI (tech)","Capture",2019,2024,2027,,"Planned",1,4.3,4.3,"Power and heat","Dedicated storage","Northern Endurance Partnership","Europe","https://www.drax.com/press_release/drax-and-mitsubishi-heavy-industries-sign-pioneering-deal-to-deliver-the-worlds-largest-carbon-capture-power-project/","https://biomassmagazine.com/articles/18574/drax-to-invest-l40m-in-next-stage-of-beccs-project","https://www.drax.com/press_release/british-steel-forges-new-partnership-to-support-draxs-world-leading-carbon-capture-project/","https://www.gov.uk/government/news/environment-agency-consults-on-drax-carbon-capture-plans","https://www.drax.com/press_release/uk-government-approves-planning-application-for-beccs-at-drax-power-station/",,,"Link 1","Link 2","Link 3","Link 4","Link 5","",""
"Drax BECCS Project (Phase 2)",131,"United Kingdom","Drax, Worley (FEED), Mitsubishi HI (tech)","Capture",2019,2024,2030,,"Planned",2,3.7,3.7,"Power and heat","Dedicated storage","Northern Endurance Partnership","Europe","https://www.drax.com/press_release/drax-and-mitsubishi-heavy-industries-sign-pioneering-deal-to-deliver-the-worlds-largest-carbon-capture-power-project/","https://biomassmagazine.com/articles/18574/drax-to-invest-l40m-in-next-stage-of-beccs-project","https://www.gov.uk/government/news/environment-agency-consults-on-drax-carbon-capture-plans",,,,,"Link 1","Link 2","Link 3","","","",""
"Drax US BECCS plant 1",770,"United States","Drax","Capture",2023,2026,2030,,"Planned",,3,3,"Power and heat","Dedicated storage",,"North America","https://www.drax.com/investors/progressing-global-beccs-opportunities/",,,,,,,"Link 1","","","","","",""
"Drax US BECCS plant 2",771,"United States","Drax","Capture",2023,2026,2030,,"Planned",,3,3,"Power and heat","Dedicated storage",,"North America","https://www.drax.com/investors/progressing-global-beccs-opportunities/",,,,,,,"Link 1","","","","","",""
"Dry Fork Integrated Commercial CCS/Wyoming CarbonSafe (WY)",132,"United States","MTR Carbon Capture, Basin Electric Power Cooperative, Electric Power Research Institute, University of Wyoming, Bismarck","Full chain",2016,,2025,,"Planned",1,3,3,"Power and heat","Dedicated storage","Wyoming CarbonSAFE (WY)","North America","https://www.basinelectric.com/News-Center/news-releases/carbon-capture-project-at-dry-fork-station-begins-phase-3-testing","https://www.coalage.com/breaking-news/wyoming-carbonsafe-project-drills-second-exploratory-well-at-dry-fork-station/","https://www.netl.doe.gov/node/1303","http://www.uwyo.edu/cegr/research-projects/wyoming-carbonsafe.html","https://www.energy.gov/fecm/foa-1999-project-selections","https://www.mining.com/co2-storage-project-in-americas-coal-country-one-step-closer-to-becoming-a-reality/","https://www.osti.gov/biblio/1897679","Link 1","Link 2","Link 3","Link 4","Link 5","Link 6","Link 7"
"Duke Energy Edwardsport Integrated Gasification Combined Cycle plant (IN)",1127,"United States","Duke Energy, DOE Office of Clean Energy Demonstrations","Capture",2023,,,,"Planned",,3.6,3.6,"Power and heat","Dedicated storage",,"North America","https://www.energy.gov/oced/carbon-capture-demonstration-projects-program-front-end-engineering-design-feed-studies",,,,,,,"Link 1","","","","","",""
"e-Alto",752,"United Kingdom","Velocys, Clariant Catalysts, Technip Energies, British Airways","CCU",2022,,,,"Planned",,,,"Biofuels","Use",,"Europe","https://www.altalto.com/2022/12/12/award-of-2-5m-grant-for-new-e-fuels-project/",,,,,,,"Link 1","","","","","",""
"East Calgary Region Carbon Sequestration Hub (ALB)",501,"Canada"," Reconciliation Energy Transition Inc. (RETI), Sumitomo","Storage",2022,,,,"Planned",,"5 - 10",10,"Storage","Dedicated storage","East Calgary Region Carbon Sequestration Hub (ALB)","North America","https://www.alberta.ca/carbon-capture-utilization-and-storage-hub-development-process.aspx","https://finance.yahoo.com/news/reconciliation-energy-transition-inc-announces-130000578.html","https://www.newswire.ca/news-releases/reconciliation-energy-transition-inc-announces-successful-proposal-for-the-east-calgary-region-carbon-sequestration-hub-899913131.html","https://www.newswire.ca/news-releases/reconciliation-energy-transition-inc-and-sumitomo-corporation-of-americas-announce-exclusivity-agreement-for-carbon-transportation-and-sequestration-project-in-alberta-canada-886172276.html",,,,"Link 1","Link 2","Link 3","Link 4","","",""
"East Kalimantan CCUS hub",947,"Indonesia","Kaltim Parna Industry, ITB","Storage",2022,,2030,,"Planned",,1,1,"Storage","Dedicated storage","East Kalimantan CCUS hub","Other Asia Pacific","https://acnf.jp/program/file/presentation/7_Panelist_MEMR-IDN.pdf",,,,,,,"Link 1","","","","","",""
"East Niigata area CCS - Hokuetsu pulp plant",1134,"Japan","Hokuetsu","Capture",2023,,2030,,"Planned",,,,"Other industry","Dedicated storage","East Niigata area CCS","Other Asia Pacific","https://www.meti.go.jp/english/press/2023/0613_001.html",,,,,,,"Link 1","","","","","",""
"East Niigata area CCS - Mitsubshi gas chemical",1133,"Japan","Mitsubishi Gas Chemical","Capture",2023,,2030,,"Planned",,,,"Chemicals","Dedicated storage","East Niigata area CCS","Other Asia Pacific","https://www.meti.go.jp/english/press/2023/0613_001.html",,,,,,,"Link 1","","","","","",""
"East Niigata area CCS - Tohoku Electric Power",1132,"Japan","Tohoku Electric Power","Capture",2023,,2030,,"Planned",,,,"Power and heat","Dedicated storage","East Niigata area CCS","Other Asia Pacific","https://www.energy.gov/oced/carbon-capture-demonstration-projects-program-front-end-engineering-design-feed-studies",,,,,,,"Link 1","","","","","",""
"East Niigata area CCS (capture sources under evaluation)",289,"Japan","JAPEX, Tohoku Electric Power, Mitsubishi Gas Chemical, Hokuetsu, NRI","T&S",2023,,2030,,"Planned",,1.5,1.5,"T&S","Dedicated storage","East Niigata area CCS","Other Asia Pacific","https://www.japex.co.jp/en/news/detail/20220530_02/","Japan Petroleum Exploration : Entrust a Study in East-Niigata Area as the “Business Feasibility Study on Japanese Advanced CCS Project” in FY2023 by JOGMEC -August 08, 2023 at 01:06 am EDT | MarketScreener",,,,,,"Link 1","Link 2","","","","",""
"Eastern Louisiana Clean Hydrogen Complex (LA) ",38,"United States","Air Products","Full chain",2021,2023,2026,,"Under construction",,5,5,"Hydrogen or ammonia","Dedicated storage",,"North America","https://www.airproducts.com/campaigns/la-blue-hydrogen-project","https://carbonherald.com/air-products-to-go-ahead-with-7-billion-hydrogen-project-in-louisiana-with-carbon-capture-included/",,,,,,"Link 1","Link 2","","","","",""
"Eastern Wyoming Sequestration Hub (WY)",133,"United States","Tallgrass energy","Storage",2022,,2024,,"Planned",,1.5,1.5,"Storage","Dedicated storage","Eastern Wyoming Sequestration Hub (WY)","North America","https://www.tallgrass.com/newsroom/press-releases/tallgrass-to-capture-and-sequester-co2-emissions-from-adm-corn-processing-complex-in-nebraska",,,,,,,"Link 1","","","","","",""
"ECO2CEE (Poland EU CCS Interconnector) phase 1",319,"Poland, Latvia, Lithuania","Air Liquide Polska, PKN Orlen, Lafarge Cement, Orlen Lietuva","Transport",2021,,2027,,"Planned",1,"2.5 - 3",2.5,"Transport","Dedicated storage","ECO2CEE (Gdansk terminal)","Europe","https://ec.europa.eu/clima/system/files/2021-11/policy_funding_innovation-fund_large-scale_successful_projects_en.pdf","https://ec.europa.eu/energy/maps/pci_fiches/PciFiche_12.9.pdf","https://www.energy.gov/sites/default/files/2023-08/8.%20ECO2CEE%20PKN%20ORLEN.pdf","https://energy.ec.europa.eu/news/connecting-europe-facility-nearly-eu600-million-energy-infrastructure-contributing-decarbonisation-2023-12-08_en","https://www.orlen.pl/en/about-the-company/media/press-releases/2023/December-2023/ORLEN-EU-funding-secured-for-CO2-transshipment-terminal-",,,"Link 1","Link 2","Link 3","Link 4","Link 5","",""
"ECO2CEE (previously Poland EU CCS Interconnector) phase 2",320,"Poland, Latvia, Lithuania","Air Liquide Polska, PKN Orlen, Lafarge Cement, Orlen Lietuva","Transport",2021,,2031,,"Planned",2,6.5,6.5,"Transport","Dedicated storage","ECO2CEE","Europe","https://ec.europa.eu/clima/system/files/2021-11/policy_funding_innovation-fund_large-scale_successful_projects_en.pdf","https://ec.europa.eu/energy/maps/pci_fiches/PciFiche_12.9.pdf","https://www.energy.gov/sites/default/files/2023-08/8.%20ECO2CEE%20PKN%20ORLEN.pdf","https://energy.ec.europa.eu/news/connecting-europe-facility-nearly-eu600-million-energy-infrastructure-contributing-decarbonisation-2023-12-08_en",,,,"Link 1","Link 2","Link 3","Link 4","","",""
"ECO2CEE (previously Poland EU CCS Interconnector) phase 3",648,"Poland, Latvia, Lithuania","Air Liquide Polska, PKN Orlen, Lafarge Cement, Orlen Lietuva","Transport",2021,,2033,,"Planned",3,0.3,0.3,"Transport","Dedicated storage","ECO2CEE","Europe","https://ec.europa.eu/eusurvey/runner/Consultation_PCIcandidates_CO2networks",,,,,,,"Link 1","","","","","",""
"ECO2Normandy phase 1",649,"France","Air Liquide, Borealis, Esso (Exxon Mobil), TotalEnergies, Yara","Transport",2023,,2028,,"Planned",1,1.2,1.2,"Transport","Dedicated storage","ECO2Normandy/Nautilus","Europe","https://www.airliquide.com/group/press-releases-news/2021-07-12/air-liquide-borealis-esso-totalenergies-and-yara-collaborate-help-decarbonize-industrial-basin",,,,,,,"Link 1","","","","","",""
"ECO2Normandy phase 2",650,"France","Air Liquide, Borealis, Esso (Exxon Mobil), TotalEnergies, Yara","Transport",2023,,2031,,"Planned",2,1.2,1.2,"Transport","Dedicated storage","ECO2Normandy/Nautilus","Europe","https://www.airliquide.com/group/press-releases-news/2021-07-12/air-liquide-borealis-esso-totalenergies-and-yara-collaborate-help-decarbonize-industrial-basin",,,,,,,"Link 1","","","","","",""
"ECO2Normandy phase 3",651,"France","Air Liquide, Borealis, Esso (Exxon Mobil), TotalEnergies, Yara","Transport",2023,,2036,,"Planned",3,1.2,1.2,"Transport","Dedicated storage","ECO2Normandy/Nautilus","Europe","https://www.airliquide.com/group/press-releases-news/2021-07-12/air-liquide-borealis-esso-totalenergies-and-yara-collaborate-help-decarbonize-industrial-basin",,,,,,,"Link 1","","","","","",""
"ECO2S: Early CO2 Storage Complex in Kemper County (MS)",334,"United States","Southern States Energy Board, Mississipi Power (Southern Company)","T&S",2017,,,,"Planned",,3,3,"T&S","Dedicated storage","Project ECO2S: Early CO2 Storage Complex in Kemper County (MS)","North America","https://www.energy.gov/fecm/foa-1999-project-selections",,,,,,,"Link 1","","","","","",""
"ECOPLANTA (Tarragona)",1146,"Spain","ECOPLANTA MOLECULAR RECYCLING
SOLUTIONS S.L","CCU",2021,,2027,,"Planned",,0.34,0.34,"Power and heat","Use",,"Europe","https://climate.ec.europa.eu/system/files/2022-07/if_pf_2022_ecoplanta_en_0.pdf",,,,,,,"Link 1","","","","","",""
"Edmonton Blue Hydrogen plant (ALB)",135,"Canada","Mitsubishi Corporation, Shell Canada","Capture",2021,,,,"Planned",,,,"Hydrogen or ammonia","Dedicated storage","Atlas Carbon Sequestration Hub (ALB)","North America","https://www.mitsubishicorp.com/jp/en/pr/archive/2021/html/0000047710.html",,,,,,,"Link 1","","","","","",""
"Edmonton Varme facility (ALB)",1075,"Canada","Varme Energy, City of Edmonton","Capture",2024,,2027,,"Planned",,,,"Power and heat","Unknown/unspecified",,"North America","https://www.varmeenergy.com/city-of-edmonton-and-varme-energy-to-divert-150-000-tonnes-of-waste-from-landfill-through-waste-to-energy-agreement",,,,,,,"Link 1","","","","","",""
"El Camino (LA)",876,"United States","Shell US Power and Gas LLC, Geo Stock Sandia LLC ","Storage",2022,,,,"Planned",,1.5,1.5,"Storage","Unknown/unspecified",,"North America","https://ccusmap.com/markers/project-detail/el-camino",,,,,,,"Link 1","","","","","",""
"Elmworth Gas Plant",1120,"Canada","Cenovus","Capture",2023,,,,"Planned",,,,"Other fuel transformation","Unknown/unspecified",,"North America","https://pathwaysalliance.ca/news/q-and-a-progress-on-the-pathways-alliance-net-zero-goal/","https://www.cenovus.com/-/media/FCA5F5D0FBC345DC8FBC93DEF08D292E.ashx",,,,,,"Link 1","Link 2","","","","",""
"Emerge CCS",1105,"United Kingdom","Uniper, Fortum","Capture",2021,,,,"Planned",,,,"Power and heat","Dedicated storage","Liverpool Bay CO2 storage (Hynet)","Europe","https://www.uniper.energy/united-kingdom/projects-united-kingdom/emerge-centre",,,,,,,"Link 1","","","","","",""
"Emirates Steel Industries (Abu Dhabi CCS Phase 1)",4,"United Arab Emirates","ADNOC, Masdar","Full chain",2007,2012,2016,,"Operational",,0.8,0.8,"Iron and steel","EOR",,"Middle East","https://www.cslforum.org/cslf/sites/default/files/documents/AbuDhabi2017/AbuDhabi17-TW-Sakaria-Session2.pdf","https://www.energiron.com/wp-content/uploads/2019/05/ENERGIRON-DR-Technology-Overview.pdf",,,,,,"Link 1","Link 2","","","","",""
"EM-Rhone",1094,"France","Elyse Energy, Holcim, Air Liquide","CCU",2023,2025,2028,,"Planned",,0.195,0.195,"Cement","Use",,"Europe","https://elyse.energy/en/elyse-energy-announces-the-opening-of-an-e-methanol-plant-on-the-roches-roussillon-chemical-hub",,,,,,,"Link 1","","","","","",""
"Enbridge Ingleside Energy Center Low carbon ammonia (TX)",136,"United States","Enbridge, Yara","Capture",2022,,2028,,"Planned",,,,"Hydrogen or ammonia","Dedicated storage","Corpus Christi CO2 pipeline (TX)/BlueBonnet sequestration hub (TX)","North America","https://www.enbridge.com/media-center/news/details?id=123722&lang=en","https://www.ammoniaenergy.org/articles/enbridge-and-yara-ccs-based-ammonia-in-texas/#:~:text=The%20ammonia%20production%20facility%2C%20pending,the%20facility%20is%20fully%20operational.",,,,,,"Link 1","Link 2","","","","",""
"ENEOS MOL JX CO2 shipping",1070,"Japan-Australia","ENEOS Corporation, JX Nippon Oil & Gas Exploration Corporation, Electric Power Development Co.,Ltd. (J-POWER)","T&S",2023,,2030,,"Planned",,,,"T&S","Dedicated storage","Northern to Western Kyushu Offshore CCS","Other Asia Pacific","https://www.offshore-energy.biz/mol-and-jx-to-develop-ccs-value-chain-between-japan-and-australia/",,,,,,,"Link 1","","","","","",""
"Energean CO2 storage and hydrogen plant",138,"Greece","Energean Plc","Capture",2021,,2025,,"Planned",,2.5,2.5,"Hydrogen or ammonia","Dedicated storage","Prinos CO2 storage","Europe","https://www.worldoil.com/news/2021/2/25/energean-proposes-500mm-carbon-storage-facility-in-northern-greece","https://www.halliburton.com/en/about-us/press-release/energean-selects-halliburton-carbon-storage-subsurface-study-greece",,,,,,"Link 1","Link 2","","","","",""
"Energy Recovery Facility Edmonton EcoPark",583,"United Kingdom","North London Waste Authority (NLWA)","Capture",2020,,,,"Planned",,,,"Power and heat","Dedicated storage","Bacton Thames Net Zero Initiative","Europe","http://www.northlondonheatandpower.london/project/","http://northlondonheatandpower.london/news/nlwa-takes-next-step-towards-carbon-capture-in-edmonton/","https://www.nlwa.gov.uk/news/edmonton-ecopark-steps-closer-towards-net-zero-and-beyond-major-new-partnership",,,,,"Link 1","Link 2","Link 3","","","",""
"Enhance Clive Sequestration Facility (ACTL) (ALB)",94,"Canada","Enhance Energy","Storage",2011,2018,2020,,"Operational",,"1.1 - 1.5",1.1,"Storage","EOR","Alberta Carbon Trunk Line (ACTL)/Enhance Clive Sequestration Facility (ALB)","North America","https://enhanceenergy.com/megatonne-milestone-charting-a-new-and-cleaner-path-forward-by-capturing-co2-and-producing-lower-carbon-energy/","https://alberta.csaregistries.ca/GHGR_Listing/AEOR_ListingDetail.aspx?ProjectId=157",,,,,,"Link 1","Link 2","","","","",""
"ENI Ravenna power plant",142,"Italy","Eni","Capture",2020,,2027,,"Planned",1,0.8,0.8,"Power and heat","Dedicated storage","Ravenna CCS","Europe","https://www.eni.com/en-IT/operations/italy-ravenna-upstream-activities.html",,,,,,,"Link 1","","","","","",""
"ENI Venice bio-refinery Porto Marghera",143,"Italy","Eni","Capture",2020,,2027,,"Planned",,0.2,0.2,"Other fuel transformation","Dedicated storage","Ravenna CCS","Europe","https://www.eni.com/en-IT/operations/italy-ravenna-upstream-activities.html",,,,,,,"Link 1","","","","","",""
"Enid fertiliser (OK)",144,"United States","Koch Nitrogen Company, Daylight Petroleum","Full chain",1982,,1982,,"Operational",,0.68,0.68,"Chemicals","EOR",,"North America","http://www.zeroco2.no/projects/enid-fertiliser-plant","https://www.osti.gov/servlets/purl/1547301","https://applications.deq.ok.gov/permitspublic/storedpermits/7971.pdf",,,,,"Link 1","Link 2","Link 3","","","",""
"EnLink midstream network (LA)",495,"United States","EnLink Midstream","Transport",2022,,2025,,"Planned",,2,2,"Transport","Dedicated storage","Enlink midstream network (LA)","North America","https://sustainability.enlink.com/carbon-solutions/",,,,,,,"Link 1","","","","","",""
"Enquest CCS Project ",849,"United Kingdom","Enquest CCS Ltd","Storage",2023,,,,"Planned",,10,10,"Storage","Dedicated storage",,"Europe","https://www.enquest.com/media/press-releases/article/enquest-plc-awarded-offer-of-carbon-storage-licences","https://www.nstauthority.co.uk/news-publications/news/2023/net-zero-boost-as-carbon-storage-licences-accepted/",,,,,,"Link 1","Link 2","","","","",""
